,ARI,DCR,DCR_V2,FRE,FKG,SMOG,CLI,LINSEAR,GF,Textstd,LexCount,Difficult Words,Difficulty,accepted,error,wrong answer
0,7.3,7.44,6.12,70.94,7.6,10.3,6.2,10.333333333333334,8.69,5,310,32,3.0,0.0,0.0,1.0
1,9.1,9.25,7.34,64.71,8.0,11.9,8.87,7.875,9.83,5,240,45,3.3,0.0,1.0,0.0
2,5.4,7.74,6.35,74.29,6.4,10.0,5.62,7.571428571428571,7.16,5,125,16,2.7,0.0,0.0,1.0
3,7.8,7.52,5.91,78.79,6.7,8.1,6.32,6.571428571428571,7.97,5,284,25,4.0,0.0,0.0,1.0
4,8.2,7.41,6.18,79.19,6.5,8.0,6.44,8.166666666666666,8.11,5,244,26,2.0,1.0,0.0,0.0
5,6.6,7.25,6.46,71.04,7.6,9.2,5.28,8.5,9.17,4,120,15,2.3,0.0,0.0,1.0
6,7.5,9.63,7.6,64.1,8.2,10.3,7.02,7.2857142857142865,9.18,5,109,22,2.4,0.0,0.0,1.0
7,8.1,8.07,6.88,66.44,7.3,9.8,8.57,5.555555555555555,8.13,6,385,63,3.8,0.0,1.0,0.0
8,14.4,8.25,6.98,52.12,12.8,13.0,9.29,21.0,13.59,10,548,69,1.7,0.0,0.0,1.0
9,8.5,8.13,7.01,63.29,8.5,10.9,8.35,7.7142857142857135,9.67,6,296,48,3.9,1.0,0.0,0.0
10,8.3,9.31,6.73,75.3,6.0,8.8,6.66,7.0,6.19,4,116,18,1.4,1.0,0.0,0.0
11,10.3,7.88,6.85,54.52,9.8,12.4,10.21,9.0,9.98,7,351,53,3.3,0.0,0.0,1.0
12,8.4,7.12,5.85,77.57,7.2,9.0,6.44,10.8,9.09,4,323,26,2.2,1.0,0.0,0.0
13,10.4,7.86,6.91,66.67,9.3,12.1,7.95,11.0,11.28,5,235,33,8.9,0.0,0.0,1.0
14,7.5,9.02,6.71,81.22,5.8,8.8,7.01,6.857142857142857,8.44,6,123,18,3.5,0.0,0.0,1.0
15,11.8,8.56,7.03,66.67,9.3,10.9,8.7,12.2,11.01,6,278,41,2.0,1.0,0.0,0.0
16,8.3,8.89,6.43,71.04,7.6,9.7,7.19,7.0,8.92,6,154,19,3.8,0.0,0.0,1.0
17,7.0,8.14,6.18,62.88,8.7,10.8,5.57,8.142857142857142,9.31,6,185,20,3.1,1.0,0.0,0.0
18,9.7,8.13,6.84,61.36,9.2,10.5,8.59,8.833333333333334,9.5,6,110,16,3.2,1.0,0.0,0.0
19,9.6,7.03,6.05,75.13,8.1,11.5,6.85,11.8,10.12,4,257,22,4.3,0.0,1.0,0.0
20,12.1,10.14,7.48,61.87,9.1,12.3,11.37,10.333333333333334,10.37,7,160,30,1.4,1.0,0.0,0.0
21,7.7,8.65,7.38,74.39,6.3,9.2,8.52,6.25,8.1,6,124,24,3.3,1.0,0.0,0.0
22,12.1,7.62,6.08,72.19,9.2,11.4,8.25,18.666666666666668,11.22,9,267,21,2.1,1.0,0.0,0.0
23,12.9,9.11,8.12,50.87,11.2,13.3,11.55,14.2,12.73,10,304,67,1.4,1.0,0.0,0.0
24,11.6,8.79,7.37,53.31,10.3,11.4,10.96,10.666666666666666,10.59,8,233,42,4.0,0.0,0.0,1.0
25,11.0,8.38,7.0,60.35,9.6,11.7,9.52,13.0,10.57,7,309,47,1.7,1.0,0.0,0.0
26,8.2,8.62,6.68,67.35,6.9,11.0,8.16,14.2,7.88,5,260,40,2.7,0.0,0.0,1.0
27,14.6,8.37,7.4,56.49,11.1,12.6,12.25,12.2,12.13,10,277,46,2.7,0.0,0.0,1.0
28,22.5,9.89,8.36,29.56,19.4,18.6,10.29,34.0,18.46,11,124,21,2.3,0.0,0.0,1.0
29,11.8,9.63,8.17,47.49,10.4,13.3,12.4,10.571428571428571,11.55,9,184,44,1.3,1.0,0.0,0.0
30,9.9,8.01,6.76,63.9,8.3,11.5,9.57,8.714285714285714,8.22,6,189,28,1.9,1.0,0.0,0.0
31,10.4,8.44,7.16,67.59,8.9,10.1,8.3,7.833333333333334,10.48,6,246,39,3.5,0.0,0.0,1.0
32,9.9,9.57,7.67,71.65,7.4,10.8,9.68,7.142857142857142,10.12,7,182,37,1.4,1.0,0.0,0.0
33,10.1,7.6,6.43,71.89,9.3,12.0,5.75,12.4,11.83,9,443,44,5.1,0.0,0.0,1.0
34,7.1,7.75,6.39,59.7,7.8,11.6,8.45,7.0,8.09,5,58,8,2.6,1.0,0.0,0.0
35,8.7,10.06,6.98,61.16,9.3,11.2,6.85,13.8,10.39,6,241,37,1.7,1.0,0.0,0.0
36,7.8,8.17,6.48,79.4,6.5,9.7,6.61,8.666666666666666,9.21,4,103,13,1.5,1.0,0.0,0.0
37,7.6,7.08,6.39,74.49,6.3,9.6,8.58,7.428571428571429,7.52,5,137,18,2.2,1.0,0.0,0.0
38,12.5,8.94,7.59,42.61,12.3,13.2,11.02,16.25,11.44,10,341,64,2.0,0.0,1.0,0.0
39,10.3,9.12,7.21,71.55,7.4,8.8,9.45,8.166666666666666,8.52,6,149,26,1.8,1.0,0.0,0.0
40,12.3,8.32,6.34,69.75,10.2,9.7,6.97,14.0,11.68,7,160,14,2.2,0.0,0.0,1.0
41,11.0,8.55,7.63,60.95,9.4,11.6,10.04,10.5,10.39,8,206,40,2.2,1.0,0.0,0.0
42,8.1,7.44,6.32,70.84,7.7,9.9,6.96,8.0,9.24,5,311,36,1.8,1.0,0.0,0.0
43,8.2,7.14,6.19,73.71,8.6,10.0,4.59,8.0,10.62,5,479,43,5.2,0.0,0.0,1.0
44,8.9,7.42,6.01,71.75,7.3,9.3,8.7,8.0,8.63,6,213,21,2.6,0.0,0.0,1.0
45,7.4,7.51,6.25,73.07,6.8,10.1,7.07,6.125,8.49,4,212,25,1.6,0.0,0.0,1.0
46,10.9,8.59,7.23,61.97,9.0,11.8,9.39,13.2,10.74,6,372,64,1.4,1.0,0.0,0.0
47,13.4,7.8,6.75,63.63,10.4,11.9,9.52,12.0,11.81,9,390,47,2.9,0.0,0.0,1.0
48,8.3,8.05,6.96,72.36,7.1,9.3,8.52,6.857142857142857,8.39,6,174,28,2.4,0.0,0.0,1.0
49,8.7,8.41,6.89,66.44,7.3,10.0,9.5,7.571428571428571,7.79,5,146,24,2.4,1.0,0.0,0.0
50,8.0,7.43,6.24,78.89,6.7,8.8,6.67,7.833333333333334,8.89,4,265,29,2.1,0.0,1.0,0.0
51,7.4,7.45,6.1,81.43,5.7,9.0,6.84,7.428571428571429,8.1,4,258,28,2.7,0.0,0.0,1.0
52,9.4,7.87,6.4,75.74,7.9,9.6,6.73,11.2,10.35,5,375,41,1.8,0.0,1.0,0.0
53,8.7,7.1,6.19,79.9,6.3,9.0,8.12,8.0,8.35,6,383,42,1.3,0.0,0.0,1.0
54,8.7,7.74,6.36,77.98,7.0,8.8,7.43,11.0,9.32,6,149,17,1.4,1.0,0.0,0.0
55,10.6,8.65,7.62,60.55,9.6,12.0,9.52,15.25,10.96,7,229,44,1.8,0.0,0.0,1.0
56,8.3,7.29,6.14,72.66,7.0,9.6,8.7,9.0,8.18,6,263,29,2.3,1.0,0.0,0.0
57,10.8,8.3,6.96,74.83,8.2,10.3,8.12,8.666666666666666,11.6,6,260,37,3.5,0.0,0.0,1.0
58,9.3,7.24,6.2,61.16,9.3,10.8,8.24,9.0,9.1,6,259,27,1.5,1.0,0.0,0.0
59,9.7,8.2,6.74,68.6,8.5,10.0,7.83,8.166666666666666,9.85,7,215,29,1.6,1.0,0.0,0.0
60,12.8,10.07,7.24,67.28,9.0,11.6,10.27,11.333333333333334,11.85,9,374,61,5.6,0.0,1.0,0.0
61,10.5,7.72,6.44,73.51,8.7,8.4,6.85,10.4,10.44,8,161,17,1.7,1.0,0.0,0.0
62,8.1,7.46,5.92,77.06,7.4,9.1,5.98,14.25,8.99,6,371,31,5.2,0.0,0.0,1.0
63,8.1,7.47,6.32,77.37,7.2,9.4,6.38,8.666666666666666,9.66,4,384,42,4.8,0.0,0.0,1.0
64,10.4,9.51,7.86,59.64,9.9,11.2,8.82,10.5,11.27,7,220,45,3.6,0.0,1.0,0.0
65,8.1,7.51,6.16,62.17,8.9,12.3,6.2,7.125,9.41,6,315,33,1.7,1.0,0.0,0.0
66,11.0,8.09,6.57,65.25,9.8,9.4,7.14,13.5,10.87,8,114,13,1.5,0.0,0.0,1.0
67,10.4,7.44,6.72,69.21,8.3,10.9,9.63,7.7142857142857135,10.29,5,264,36,3.3,0.0,1.0,0.0
68,7.3,7.33,6.13,71.65,7.4,10.1,6.67,7.428571428571429,8.72,4,132,14,1.6,0.0,0.0,1.0
69,11.0,8.56,6.65,61.36,9.2,12.7,9.28,10.166666666666666,9.99,6,165,22,2.5,1.0,0.0,0.0
70,10.6,10.13,9.22,42.78,10.2,12.7,12.16,7.111111111111111,12.33,8,104,33,3.2,0.0,1.0,0.0
71,7.4,8.12,6.06,71.95,7.2,8.5,6.96,8.0,7.58,5,146,15,4.0,0.0,0.0,1.0
72,9.6,8.21,6.74,74.12,8.5,9.8,6.51,8.333333333333334,11.24,6,246,31,3.9,1.0,0.0,0.0
73,6.6,8.53,6.76,75.5,5.9,9.3,7.41,5.555555555555555,7.45,4,152,24,2.6,0.0,0.0,1.0
74,11.0,7.8,6.49,66.98,9.2,11.5,9.11,7.2857142857142865,10.97,5,253,29,5.8,0.0,0.0,1.0
75,8.3,7.95,6.58,71.95,7.2,10.8,8.47,9.0,9.44,5,81,11,1.4,1.0,0.0,0.0
76,9.9,9.16,6.3,58.42,10.4,12.5,6.91,11.0,11.0,7,127,13,3.0,0.0,1.0,0.0
77,8.3,7.22,6.12,71.85,7.3,9.2,7.71,5.875,7.66,5,245,26,1.3,1.0,0.0,0.0
78,11.2,7.22,6.53,48.3,10.1,13.2,12.17,10.571428571428571,9.05,8,160,22,2.3,0.0,0.0,1.0
79,7.7,7.21,6.22,71.14,7.6,9.9,6.9,8.571428571428571,9.08,5,544,60,5.8,0.0,0.0,1.0
80,10.5,8.76,7.47,63.7,8.4,10.6,10.67,13.0,9.48,8,208,40,3.8,0.0,1.0,0.0
81,10.1,7.79,6.25,66.57,9.3,11.8,7.49,16.0,11.02,5,215,21,2.3,1.0,0.0,0.0
82,8.9,7.39,6.15,70.43,7.8,10.0,7.77,6.714285714285714,8.71,5,319,33,5.5,0.0,0.0,1.0
83,6.2,8.34,6.37,75.4,5.9,9.1,6.95,5.666666666666667,7.0,4,128,17,2.5,1.0,0.0,0.0
84,9.5,8.28,6.67,68.5,8.6,9.9,7.2,11.0,9.77,7,353,46,4.2,0.0,0.0,1.0
85,11.0,7.43,6.15,68.2,8.7,10.7,9.46,11.8,9.97,6,259,25,3.3,0.0,0.0,1.0
86,8.1,8.54,6.77,63.09,8.6,10.6,7.19,7.428571428571429,9.74,6,116,17,3.1,1.0,0.0,0.0
87,9.6,7.79,6.47,68.1,8.7,7.8,7.78,10.8,9.67,5,120,14,1.3,1.0,0.0,0.0
88,11.8,7.99,6.61,68.2,8.7,11.2,10.04,13.4,10.47,6,239,30,4.2,0.0,1.0,0.0
89,11.0,7.49,6.74,65.15,9.9,10.9,8.19,10.8,11.54,8,320,40,2.2,0.0,0.0,1.0
90,10.8,8.39,6.49,73.41,8.8,9.8,7.38,11.0,11.09,8,324,35,4.6,1.0,0.0,0.0
91,4.5,8.0,6.04,82.34,5.3,9.7,3.88,6.375,8.09,2,186,20,3.8,0.0,0.0,1.0
92,9.8,8.29,6.98,67.28,9.0,11.3,7.31,15.5,11.06,6,540,79,5.5,0.0,0.0,1.0
93,3.8,9.59,6.36,78.45,4.8,8.4,3.86,6.625,5.81,1,127,18,5.8,0.0,1.0,0.0
94,6.7,7.86,6.05,79.5,6.4,9.1,5.22,9.0,8.71,6,342,34,4.6,0.0,0.0,1.0
95,8.1,8.26,8.26,70.29,5.8,0.0,9.65,4.25,5.91,3,19,5,1.2,1.0,0.0,0.0
96,9.7,7.88,6.34,73.92,8.6,9.7,5.52,8.333333333333334,10.46,7,339,34,5.7,0.0,0.0,1.0
97,9.5,9.69,6.97,64.85,10.0,11.2,2.39,14.75,12.38,7,116,16,5.2,0.0,1.0,0.0
98,9.7,8.85,7.44,62.88,8.7,11.4,9.28,12.0,10.28,6,202,38,2.8,0.0,1.0,0.0
99,7.4,8.76,6.99,61.87,9.1,11.0,6.15,12.6,10.37,6,160,25,3.5,1.0,0.0,0.0
100,9.7,9.41,7.19,63.49,8.4,9.6,9.28,7.2857142857142865,8.95,6,178,31,3.1,1.0,0.0,0.0
101,9.5,8.64,6.53,66.37,9.4,11.0,6.04,11.8,10.71,6,217,25,3.1,0.0,0.0,1.0
102,8.2,8.24,6.58,70.23,7.9,10.5,6.84,7.7142857142857135,10.01,5,323,42,4.9,0.0,0.0,1.0
103,4.9,7.7,6.02,74.08,6.4,9.4,4.46,6.5,7.47,4,197,21,4.1,0.0,1.0,0.0
104,8.2,7.98,6.18,75.44,8.0,10.1,4.53,9.0,10.19,5,527,50,5.2,0.0,0.0,1.0
105,5.3,6.57,5.52,77.43,5.1,8.0,6.82,8.333333333333334,6.13,4,421,36,5.9,0.0,0.0,1.0
106,8.3,8.46,6.34,67.18,9.1,12.1,5.11,15.5,10.28,6,313,33,5.6,0.0,1.0,0.0
107,5.5,8.81,6.28,82.95,5.1,8.2,5.39,7.142857142857142,6.65,3,137,17,4.2,0.0,0.0,1.0
108,10.6,7.33,6.21,59.53,9.9,12.2,8.7,12.2,9.75,7,281,28,5.1,0.0,1.0,0.0
109,6.8,8.42,6.37,78.08,7.0,8.4,5.11,8.0,8.98,4,278,32,5.7,0.0,1.0,0.0
110,3.9,10.12,6.55,73.78,6.5,9.8,3.65,6.625,8.54,4,115,16,4.9,0.0,0.0,1.0
111,8.4,8.18,6.74,71.04,7.6,10.0,7.48,7.2857142857142865,9.96,5,154,22,1.3,0.0,0.0,1.0
112,8.7,7.69,6.51,71.14,7.6,9.3,8.47,8.333333333333334,8.73,6,187,24,2.8,0.0,0.0,1.0
113,5.7,7.48,5.8,80.72,6.0,10.4,4.81,7.125,8.1,3,207,18,4.4,0.0,0.0,1.0
114,10.1,9.62,7.17,61.77,9.1,12.1,8.7,14.0,10.89,6,161,27,2.7,1.0,0.0,0.0
115,9.0,7.96,6.51,67.99,8.8,11.4,6.79,12.0,10.26,6,361,43,5.0,0.0,0.0,1.0
116,7.8,8.18,6.48,79.5,6.4,9.1,6.49,8.5,8.28,6,222,28,5.0,0.0,0.0,1.0
117,8.3,8.79,6.62,69.92,8.0,9.6,6.62,8.333333333333334,9.7,5,182,24,5.3,0.0,0.0,1.0
118,11.0,8.12,7.11,60.24,9.7,11.4,9.69,15.25,10.85,8,233,37,3.7,0.0,0.0,1.0
119,8.3,8.93,6.62,70.84,7.7,10.0,7.48,10.333333333333334,9.23,5,260,35,4.1,0.0,1.0,0.0
120,11.0,8.12,6.42,65.25,9.8,10.2,8.01,11.0,11.01,8,593,62,4.6,0.0,1.0,0.0
121,8.1,11.01,7.85,57.98,8.5,12.5,7.93,8.333333333333334,10.32,6,40,9,2.9,1.0,0.0,0.0
122,8.0,8.72,6.65,67.79,8.8,11.4,5.17,12.4,11.07,6,244,31,4.8,1.0,0.0,0.0
123,5.7,9.84,6.37,76.56,7.6,9.4,2.44,11.2,10.4,7,100,11,4.8,0.0,1.0,0.0
124,6.2,7.46,6.07,81.43,5.7,9.2,5.68,10.333333333333334,8.61,3,396,42,3.6,0.0,0.0,1.0
125,5.2,8.01,6.34,83.96,4.7,7.8,5.73,6.0,6.66,3,76,10,1.3,1.0,0.0,0.0
126,6.0,10.94,7.4,74.79,6.2,8.8,6.08,6.25,7.98,3,107,21,3.6,1.0,0.0,0.0
127,7.4,7.91,6.24,70.94,7.6,9.3,6.26,12.0,8.78,5,189,21,4.4,0.0,0.0,1.0
128,10.0,8.55,6.97,66.67,9.3,11.1,7.6,17.333333333333332,10.97,6,299,43,4.7,0.0,1.0,0.0
129,7.0,7.71,5.99,78.69,6.7,9.7,5.39,9.0,8.77,4,322,30,5.4,0.0,0.0,1.0
130,8.7,7.65,6.14,69.31,8.3,9.2,6.73,11.2,9.08,6,282,28,4.0,0.0,1.0,0.0
131,6.9,7.46,6.01,78.99,6.6,8.5,5.74,6.125,8.56,4,316,30,3.7,1.0,0.0,0.0
132,10.3,7.99,6.77,53.21,10.3,12.7,9.63,11.166666666666666,10.42,7,360,51,3.4,0.0,0.0,1.0
133,12.0,8.8,6.77,58.66,12.4,12.7,5.24,14.75,13.84,9,264,28,4.9,0.0,1.0,0.0
134,6.5,9.73,6.6,78.89,6.7,9.3,4.99,8.5,9.34,4,106,14,3.4,1.0,0.0,0.0
135,8.8,8.63,6.62,68.5,8.6,9.6,6.79,14.75,9.77,6,353,45,5.4,0.0,0.0,1.0
136,9.4,10.67,6.79,77.74,5.0,8.6,9.78,5.666666666666667,6.74,4,126,21,4.7,0.0,1.0,0.0
137,5.9,6.71,5.6,84.37,4.5,7.7,6.37,8.166666666666666,6.67,4,456,39,5.3,0.0,0.0,1.0
138,8.5,7.84,6.59,68.6,8.5,9.7,6.79,10.166666666666666,9.94,6,429,54,3.2,0.0,0.0,1.0
139,6.8,9.41,7.11,66.03,7.5,9.6,7.42,7.142857142857142,8.4,5,96,17,4.4,1.0,0.0,0.0
140,7.0,11.11,6.98,74.22,8.4,10.5,3.08,11.8,11.01,8,134,19,5.9,0.0,1.0,0.0
141,8.4,9.07,7.08,67.69,8.9,12.0,5.11,12.4,11.24,6,143,22,3.5,0.0,0.0,1.0
142,7.7,8.71,6.58,69.52,8.2,10.3,6.09,8.428571428571429,9.73,5,297,38,5.7,0.0,0.0,1.0
143,5.5,7.48,5.92,84.47,4.5,7.6,5.67,5.111111111111111,6.19,3,122,13,1.3,1.0,0.0,0.0
144,12.3,8.34,7.25,52.6,10.5,11.8,11.89,13.4,10.55,9,334,57,3.3,0.0,0.0,1.0
145,8.2,7.43,6.23,71.14,7.6,9.6,7.48,8.333333333333334,8.63,5,460,51,2.8,1.0,0.0,0.0
146,6.3,8.16,6.43,68.16,6.6,10.2,7.23,7.0,7.45,4,128,18,2.8,1.0,0.0,0.0
147,7.7,7.2,6.1,76.25,7.7,9.2,4.64,3.0769230769230766,9.52,5,629,58,3.9,0.0,0.0,1.0
148,4.8,7.27,5.71,76.22,5.6,7.4,5.67,5.333333333333333,6.05,3,192,18,5.8,0.0,0.0,1.0
149,8.4,7.76,6.39,70.13,8.0,9.2,7.02,8.833333333333334,9.14,5,288,34,4.1,0.0,0.0,1.0
150,8.4,8.4,6.54,68.3,8.7,11.2,5.22,10.333333333333334,10.95,6,238,29,5.1,0.0,0.0,1.0
151,12.4,7.55,6.46,63.22,10.6,12.5,8.19,16.5,11.88,5,347,35,3.9,0.0,0.0,1.0
152,11.3,8.68,6.74,60.35,9.6,11.5,8.7,11.4,10.44,6,309,42,5.3,0.0,0.0,1.0
153,6.8,7.55,6.35,69.01,8.4,10.2,4.82,12.6,9.45,5,287,32,4.5,0.0,1.0,0.0
154,2.8,7.89,5.76,81.83,5.5,8.8,1.38,11.6,7.54,5,148,13,4.3,0.0,1.0,0.0
155,7.8,7.34,5.95,68.3,8.7,9.1,5.46,8.333333333333334,9.43,6,238,20,4.3,0.0,0.0,1.0
156,8.8,8.46,7.01,71.85,7.3,10.1,8.52,7.428571428571429,8.98,6,228,37,4.5,1.0,0.0,0.0
157,9.0,8.15,6.47,78.18,6.9,9.1,7.08,5.555555555555555,9.02,6,386,47,4.3,0.0,0.0,1.0
158,10.0,7.54,6.7,66.67,9.3,10.6,7.72,15.25,10.83,5,300,38,4.5,0.0,0.0,1.0
159,12.8,7.54,6.63,60.08,11.8,12.1,7.43,10.166666666666666,13.39,5,557,57,5.3,0.0,0.0,1.0
160,8.2,6.89,6.24,77.67,7.1,8.4,6.96,8.333333333333334,8.91,4,416,44,5.4,0.0,0.0,1.0
161,11.3,8.68,6.74,60.35,9.6,11.5,8.7,11.4,10.44,6,309,42,5.4,0.0,1.0,0.0
162,6.8,8.04,6.08,76.15,7.7,8.8,3.77,10.4,9.22,6,265,24,4.7,0.0,1.0,0.0
163,9.2,8.94,7.18,69.01,8.4,11.5,6.85,10.5,10.92,6,134,22,5.6,0.0,1.0,0.0
